maze,algorithm,execution_time (s),peak_memory (kB),path_length,total_moves,epochs
10x10-930449,DFS,0.00099945068359375,0.012735186031939575,25,156,
10x10-930449,BFS,0.0008144378662109375,0.11800369184914224,23,93,
10x10-930449,AStar,0.0007429122924804688,0.09944283561110265,23,59,
10x10-930449,MDPValueIteration,0.016059398651123047,0.19468576944571458,23,,29
10x10-930449,MDPPolicyIteration,0.017297744750976562,0.20010499754441227,23,,23
20x20-44213,DFS,0.002157449722290039,0.024657487849074497,113,384,
20x20-44213,BFS,0.006128787994384766,0.4740469779335806,55,742,
20x20-44213,AStar,0.003948211669921875,0.7891750918728514,55,345,
20x20-44213,MDPValueIteration,0.13063526153564453,0.7821300953445444,55,,53
20x20-44213,MDPPolicyIteration,0.24567151069641113,0.7916137445172653,55,,51
30x30-400898,DFS,0.00597834587097168,0.05500516520178157,301,1170,
30x30-400898,BFS,0.019283533096313477,0.9563582787176752,107,3031,
30x30-400898,AStar,0.0060193538665771484,1.5702213415976563,107,755,
30x30-400898,MDPValueIteration,0.5294244289398193,1.5626344222594795,107,,88
30x30-400898,MDPPolicyIteration,0.8298311233520508,1.6189943944859355,107,,61
40x40-843272,DFS,0.005702018737792969,0.06909515825839557,437,874,
40x40-843272,BFS,0.014467000961303711,1.8787109011160223,133,2076,
40x40-843272,AStar,0.014787673950195312,3.1340750901793424,133,1532,
40x40-843272,MDPValueIteration,1.179866075515747,3.1232366339819473,133,,113
40x40-843272,MDPPolicyIteration,2.2755038738250732,3.1522295043099797,133,,87
50x50-649945,DFS,0.03501129150390625,0.1563447306474284,491,4420,
50x50-649945,BFS,0.07382488250732422,1.8830462835949804,177,9615,
50x50-649945,AStar,0.019907712936401367,3.1324493217497333,177,2071,
50x50-649945,MDPValueIteration,2.398811101913452,3.1232366339819473,177,,138
50x50-649945,MDPPolicyIteration,4.373407602310181,3.5180274009720742,177,,98
60x60-867213,DFS,0.030133724212646484,0.1758539518027401,949,4710,
60x60-867213,BFS,0.17181992530822754,3.775440735660214,263,26607,
60x60-867213,AStar,0.03289985656738281,6.25676980135142,263,3180,
60x60-867213,MDPValueIteration,5.035737752914429,6.244847499534285,263,,195
60x60-867213,MDPPolicyIteration,9.778153657913208,6.462564988399465,263,,155
70x70-307429,DFS,0.021880388259887695,0.12437128486511202,823,2944,
70x70-307429,BFS,0.6739790439605713,3.8800318379650798,209,100828,
70x70-307429,AStar,0.032042503356933594,3.1340750901793424,209,2332,
70x70-307429,MDPValueIteration,6.3591530323028564,6.244847499534285,209,,174
70x70-307429,MDPPolicyIteration,12.043982744216919,6.990533285915087,209,,124
80x80-754116,DFS,0.0509033203125,0.2495554539450287,1271,8806,
80x80-754116,BFS,1.1647346019744873,7.742315703906924,275,173116,
80x80-754116,AStar,0.0454866886138916,6.304729970024894,275,3801,
80x80-754116,MDPValueIteration,9.847708702087402,12.487662788531559,275,,222
80x80-754116,MDPPolicyIteration,19.58073377609253,12.594286101373436,275,,158
