maze,algorithm,execution_time (s),peak_memory (kB),path_length,total_moves,epochs
10x10-557337,DFS,0.00040531158447265625,0.01002557198259073,31,46,
10x10-557337,BFS,0.0006418228149414062,0.05839218276346763,21,79,
10x10-557337,AStar,0.0006477832794189453,0.10797811986655151,21,50,
10x10-557337,MDPValueIteration,0.013131380081176758,0.19468576944571458,21,,28
10x10-557337,MDPPolicyIteration,0.02255988121032715,0.20132432386661925,21,,25
20x20-614560,DFS,0.0020356178283691406,0.02953479313790242,111,400,
20x20-614560,BFS,0.004060029983520508,0.2399363240698403,51,615,
20x20-614560,AStar,0.002384662628173828,0.41565479517011295,51,213,
20x20-614560,MDPValueIteration,0x93,0.7821300953445444,51,,50
20x20-614560,MDPPolicyIteration,0.25296449661254883,0.7920201866246677,51,,40
30x30-717206,DFS,0.006180524826049805,0.061508238920218804,213,1104,
30x30-717206,BFS,0.01900172233581543,0.9444359769005403,131,2411,
30x30-717206,AStar,0.009199380874633789,0.8004199901776491,131,621,
30x30-717206,MDPValueIteration,0.6952304840087891,1.5626344222594795,131,,98
30x30-717206,MDPPolicyIteration,1.3036646842956543,1.61980727870074,131,,77
40x40-934209,DFS,0.0048983097076416016,0.061508238920218804,359,586,
40x40-934209,BFS,0.04446673393249512,0.9433521312808006,131,5014,
40x40-934209,AStar,0.013675689697265625,1.5924401768023166,131,877,
40x40-934209,MDPValueIteration,1.4683027267456055,3.1232366339819473,131,,105
40x40-934209,MDPPolicyIteration,2.794541835784912,3.1530423885247845,131,,77
50x50-971043,DFS,0.026546716690063477,0.1390032007315958,645,3528,
50x50-971043,BFS,0.053617000579833984,1.8928008941726362,191,5620,
50x50-971043,AStar,0.040367841720581055,3.2014089993056616,191,2246,
50x50-971043,MDPValueIteration,3.1751112937927246,3.1232366339819473,191,,146
50x50-971043,MDPPolicyIteration,5.416112184524536,3.5184338430794764,191,,99
60x60-367401,DFS,0.016224145889282227,0.12382936205524225,771,2456,
60x60-367401,BFS,0.19088220596313477,3.7851953462378702,207,23414,
60x60-367401,AStar,0.04701948165893555,6.307710545479178,207,2814,
60x60-367401,MDPValueIteration,5.160375356674194,6.244847499534285,207,,166
60x60-367401,MDPPolicyIteration,10.343199014663696,6.463377872614269,207,,116
70x70-764391,DFS,0.029666662216186523,0.2495554539450287,1653,4246,
70x70-764391,BFS,0.1657886505126953,3.778692272519433,253,20482,
70x70-764391,AStar,0.06540822982788086,6.315839387627225,253,3919,
70x70-764391,MDPValueIteration,9.086609601974487,6.244847499534285,253,,210
70x70-764391,MDPPolicyIteration,18.224791526794434,6.991752612237295,253,,162
80x80-854845,DFS,0.06884050369262695,0.31512811393927076,1937,9114,
80x80-854845,BFS,0.22507739067077637,7.528798116818236,225,27556,
80x80-854845,AStar,0.06582498550415039,6.318684482379041,225,3098,
80x80-854845,MDPValueIteration,10.929469108581543,12.487662788531559,225,,195
80x80-854845,MDPPolicyIteration,21.038111448287964,12.59509898558824,225,,134
90x90-638941,DFS,0.08840250968933105,0.4094226828566106,2103,12014,
90x90-638941,BFS,1.790780782699585,7.624718454165185,363,218362,
90x90-638941,AStar,0.15509724617004395,12.642110789344443,363,8039,
90x90-638941,MDPValueIteration,19.39374804496765,12.487662788531559,363,,271
90x90-638941,MDPPolicyIteration,38.576327085494995,13.286050568172197,363,,192
100x100-741890,DFS,0.08080029487609863,0.39804230384934547,2539,10694,
100x100-741890,BFS,1.1994800567626953,7.586783857474301,371,147400,
100x100-741890,AStar,0.17928576469421387,12.677877694795848,371,9101,
100x100-741890,MDPValueIteration,25.717253923416138,12.625717624345882,371,,290
100x100-741890,MDPPolicyIteration,54.98147130012512,14.057884130129215,371,,208
110x110-753366,MDPValueIteration,28.925936937332153,24.97369980863351,423,,321
110x110-753366,MDPPolicyIteration,62.689396381378174,24.97369980863351,423,,225
120x120-389310,DFS,0.10446643829345703,0.5660383749089739,2813,18996,
120x120-389310,BFS,1.0102837085723877,15.116259377804873,421,154654,
120x120-389310,AStar,0.2210235595703125,26.560178834527257,421,13367,
120x120-389310,MDPValueIteration,34.71979641914368,24.97369980863351,421,,347
120x120-389310,MDPPolicyIteration,70.61107087135315,25.835628037731375,421,,228
130x130-245863,DFS,0.14401745796203613,0.6364883401920439,3713,24780,
130x130-245863,BFS,0.5564911365509033,15.084285932022558,441,87788,
130x130-245863,AStar,0.2907078266143799,27.200731595793325,441,15532,
130x130-245863,MDPValueIteration,41.98655652999878,25.148740876221442,441,,352
130x130-245863,MDPPolicyIteration,92.26043891906738,26.852139748344594,441,,228
140x140-806087,DFS,0.1415250301361084,1.0180019983403614,6347,23744,
140x140-806087,BFS,18.80146312713623,16.892682348557976,453,2481880,
140x140-806087,AStar,0.2368307113647461,27.831936188589136,453,13170,
140x140-806087,MDPValueIteration,51.581650257110596,25.74052058459923,453,,375
140x140-806087,MDPPolicyIteration,121.2280957698822,27.949533438330878,453,,262
